,between_days,c_uniqueUnitID,Transect,DataAvail
83,2011-02-21,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,,Acoustic
84,2011-02-21,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,,Acoustic
85,2011-02-21,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,,Acoustic
86,2011-02-21,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,,Acoustic
87,2011-02-22,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,,Acoustic
88,2011-02-22,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,,Acoustic
89,2011-02-22,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,,Acoustic
90,2011-02-22,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,,Acoustic
91,2011-02-22,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,,Acoustic
92,2011-02-22,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,,Acoustic
93,2011-02-22,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,,Acoustic
94,2011-02-22,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,,Acoustic
95,2011-02-23,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,,Acoustic
96,2011-02-23,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,,Acoustic
97,2011-02-23,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,,Acoustic
98,2011-02-23,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,,Acoustic
99,2011-02-23,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,,Acoustic
100,2011-02-23,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,,Acoustic
101,2011-02-23,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,,Acoustic
102,2011-02-23,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,,Acoustic
103,2011-02-24,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,,Acoustic
104,2011-02-24,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,,Acoustic
105,2011-02-24,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,,Acoustic
106,2011-02-24,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,,Acoustic
107,2011-02-24,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,,Acoustic
108,2011-02-24,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,,Acoustic
109,2011-02-24,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,,Acoustic
110,2011-02-24,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,,Acoustic
111,2011-02-25,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,,Acoustic
112,2011-02-25,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,,Acoustic
113,2011-02-25,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,,Acoustic
114,2011-02-25,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,,Acoustic
115,2011-02-25,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,,Acoustic
116,2011-02-25,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,,Acoustic
117,2011-02-25,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,,Acoustic
118,2011-02-25,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,,Acoustic
119,2011-02-26,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,,Acoustic
120,2011-02-26,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,,Acoustic
121,2011-02-26,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,,Acoustic
122,2011-02-26,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,,Acoustic
123,2011-02-26,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,,Acoustic
124,2011-02-26,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,,Acoustic
125,2011-02-26,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,,Acoustic
126,2011-02-26,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,,Acoustic
127,2011-02-27,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,,Acoustic
128,2011-02-27,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,,Acoustic
129,2011-02-27,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,,Acoustic
130,2011-02-27,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,,Acoustic
131,2011-02-27,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,,Acoustic
132,2011-02-27,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,,Acoustic
133,2011-02-27,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,,Acoustic
134,2011-02-27,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,,Acoustic
135,2011-02-28,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,,Acoustic
136,2011-02-28,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,,Acoustic
137,2011-02-28,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,,Acoustic
138,2011-02-28,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,,Acoustic
139,2011-02-28,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,,Acoustic
140,2011-02-28,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,,Acoustic
141,2011-02-28,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,,Acoustic
142,2011-02-28,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,,Acoustic
