,Date,Overlap,variable,value
121,2009-03-12,Acoustic,Acoustic,Acoustic
122,2009-03-13,Acoustic,Acoustic,Acoustic
123,2009-03-14,AcousticWhale,Acoustic,Acoustic
124,2009-03-15,AcousticWhale,Acoustic,Acoustic
125,2009-03-16,Acoustic,Acoustic,Acoustic
126,2009-03-17,AcousticWhale,Acoustic,Acoustic
127,2009-03-18,Acoustic,Acoustic,Acoustic
128,2009-03-19,Acoustic,Acoustic,Acoustic
129,2009-03-20,Acoustic,Acoustic,Acoustic
130,2009-03-21,Acoustic,Acoustic,Acoustic
131,2009-03-22,Acoustic,Acoustic,Acoustic
132,2009-03-23,Acoustic,Acoustic,Acoustic
133,2009-03-24,Acoustic,Acoustic,Acoustic
134,2009-03-25,Acoustic,Acoustic,Acoustic
135,2009-03-26,AcousticWhale,Acoustic,Acoustic
136,2009-03-27,Acoustic,Acoustic,Acoustic
137,2009-03-28,Acoustic,Acoustic,Acoustic
138,2009-03-29,Acoustic,Acoustic,Acoustic
139,2009-03-30,Acoustic,Acoustic,Acoustic
140,2009-03-31,Acoustic,Acoustic,Acoustic
141,2009-04-01,AcousticWhale,Acoustic,Acoustic
142,2009-04-02,Acoustic,Acoustic,Acoustic
143,2009-04-03,Acoustic,Acoustic,Acoustic
144,2009-04-04,Acoustic,Acoustic,Acoustic
145,2009-04-05,Acoustic,Acoustic,Acoustic
146,2009-04-06,Acoustic,Acoustic,Acoustic
147,2009-04-07,Acoustic,Acoustic,Acoustic
148,2009-04-08,Acoustic,Acoustic,Acoustic
149,2009-04-09,AcousticWhale,Acoustic,Acoustic
150,2009-04-10,AcousticWhale,Acoustic,Acoustic
151,2009-04-11,Acoustic,Acoustic,Acoustic
152,2009-04-12,Acoustic,Acoustic,Acoustic
153,2009-04-13,Acoustic,Acoustic,Acoustic
154,2009-04-14,AcousticWhale,Acoustic,Acoustic
155,2009-04-15,Acoustic,Acoustic,Acoustic
156,2009-04-16,Acoustic,Acoustic,Acoustic
157,2009-04-17,AcousticWhale,Acoustic,Acoustic
158,2009-04-18,AcousticWhale,Acoustic,Acoustic
159,2009-04-19,Acoustic,Acoustic,Acoustic
160,2009-04-20,Acoustic,Acoustic,Acoustic
161,2009-04-21,Acoustic,Acoustic,Acoustic
162,2009-04-22,Acoustic,Acoustic,Acoustic
163,2009-04-23,Acoustic,Acoustic,Acoustic
164,2009-04-24,AcousticWhale,Acoustic,Acoustic
165,2009-04-25,AcousticWhale,Acoustic,Acoustic
166,2009-04-26,AcousticWhale,Acoustic,Acoustic
167,2009-04-27,AcousticWhale,Acoustic,Acoustic
168,2009-04-28,Acoustic,Acoustic,Acoustic
169,2009-04-29,Acoustic,Acoustic,Acoustic
170,2009-04-30,AcousticWhale,Acoustic,Acoustic
171,2009-05-01,Acoustic,Acoustic,Acoustic
172,2009-05-02,Acoustic,Acoustic,Acoustic
173,2009-05-03,Acoustic,Acoustic,Acoustic
174,2009-05-04,AcousticWhale,Acoustic,Acoustic
175,2009-05-05,Acoustic,Acoustic,Acoustic
176,2009-05-06,Acoustic,Acoustic,Acoustic
177,2009-05-07,Acoustic,Acoustic,Acoustic
178,2009-05-08,Acoustic,Acoustic,Acoustic
179,2009-05-09,Acoustic,Acoustic,Acoustic
180,2009-05-10,Acoustic,Acoustic,Acoustic
181,2009-05-11,Acoustic,Acoustic,Acoustic
182,2009-05-12,Acoustic,Acoustic,Acoustic
183,2009-05-13,Acoustic,Acoustic,Acoustic
184,2009-05-14,Acoustic,Acoustic,Acoustic
185,2009-05-15,Acoustic,Acoustic,Acoustic
186,2009-05-16,Acoustic,Acoustic,Acoustic
187,2009-09-26,Whale,Acoustic,
188,2010-01-28,Whale,Acoustic,
189,2010-02-02,Whale,Acoustic,
190,2010-02-03,Whale,Acoustic,
191,2010-02-13,Whale,Acoustic,
192,2010-02-22,Whale,Acoustic,
193,2010-02-28,Whale,Acoustic,
194,2010-03-02,Whale,Acoustic,
195,2010-03-07,Whale,Acoustic,
196,2010-03-08,Acoustic,Acoustic,Acoustic
197,2010-03-09,Acoustic,Acoustic,Acoustic
198,2010-03-10,Acoustic,Acoustic,Acoustic
199,2010-03-11,Acoustic,Acoustic,Acoustic
200,2010-03-12,AcousticWhale,Acoustic,Acoustic
201,2010-03-13,Acoustic,Acoustic,Acoustic
202,2010-03-14,Acoustic,Acoustic,Acoustic
203,2010-03-15,Acoustic,Acoustic,Acoustic
204,2010-03-16,Acoustic,Acoustic,Acoustic
205,2010-03-17,AcousticWhale,Acoustic,Acoustic
206,2010-03-18,Acoustic,Acoustic,Acoustic
207,2010-03-19,AcousticWhale,Acoustic,Acoustic
208,2010-03-20,Acoustic,Acoustic,Acoustic
209,2010-03-21,AcousticWhale,Acoustic,Acoustic
210,2010-03-22,Acoustic,Acoustic,Acoustic
211,2010-03-23,Acoustic,Acoustic,Acoustic
212,2010-03-24,Acoustic,Acoustic,Acoustic
213,2010-03-25,AcousticWhale,Acoustic,Acoustic
214,2010-03-26,Acoustic,Acoustic,Acoustic
215,2010-03-27,Acoustic,Acoustic,Acoustic
216,2010-03-28,AcousticWhale,Acoustic,Acoustic
217,2010-03-29,Acoustic,Acoustic,Acoustic
218,2010-03-30,Acoustic,Acoustic,Acoustic
219,2010-03-31,Acoustic,Acoustic,Acoustic
220,2010-04-01,AcousticWhale,Acoustic,Acoustic
221,2010-04-02,AcousticWhale,Acoustic,Acoustic
222,2010-04-03,AcousticWhale,Acoustic,Acoustic
223,2010-04-04,AcousticWhale,Acoustic,Acoustic
224,2010-04-05,AcousticWhale,Acoustic,Acoustic
225,2010-04-06,AcousticWhale,Acoustic,Acoustic
226,2010-04-07,Acoustic,Acoustic,Acoustic
227,2010-04-08,AcousticWhale,Acoustic,Acoustic
228,2010-04-09,Acoustic,Acoustic,Acoustic
229,2010-04-10,AcousticWhale,Acoustic,Acoustic
230,2010-04-11,Acoustic,Acoustic,Acoustic
231,2010-04-12,AcousticWhale,Acoustic,Acoustic
232,2010-04-13,AcousticWhale,Acoustic,Acoustic
233,2010-04-14,AcousticWhale,Acoustic,Acoustic
234,2010-04-15,Acoustic,Acoustic,Acoustic
235,2010-04-16,Acoustic,Acoustic,Acoustic
236,2010-04-17,Acoustic,Acoustic,Acoustic
237,2010-04-18,AcousticWhale,Acoustic,Acoustic
238,2010-04-19,Acoustic,Acoustic,Acoustic
239,2010-04-20,AcousticWhale,Acoustic,Acoustic
240,2010-04-21,Acoustic,Acoustic,Acoustic
241,2010-04-22,Acoustic,Acoustic,Acoustic
242,2010-04-23,Acoustic,Acoustic,Acoustic
243,2010-04-24,Acoustic,Acoustic,Acoustic
244,2010-04-25,Acoustic,Acoustic,Acoustic
245,2010-04-26,Acoustic,Acoustic,Acoustic
246,2010-04-27,Acoustic,Acoustic,Acoustic
247,2010-04-28,Acoustic,Acoustic,Acoustic
248,2010-04-29,Acoustic,Acoustic,Acoustic
249,2010-04-30,Acoustic,Acoustic,Acoustic
250,2010-05-01,Acoustic,Acoustic,Acoustic
251,2010-05-02,Acoustic,Acoustic,Acoustic
252,2010-05-03,Acoustic,Acoustic,Acoustic
253,2010-05-04,Acoustic,Acoustic,Acoustic
254,2010-05-05,Acoustic,Acoustic,Acoustic
255,2011-01-06,Whale,Acoustic,
256,2011-01-17,Whale,Acoustic,
257,2011-01-22,Whale,Acoustic,
258,2011-01-28,Whale,Acoustic,
259,2011-01-29,Whale,Acoustic,
260,2011-02-07,Whale,Acoustic,
261,2011-02-17,AcousticWhaleZooplankton,Acoustic,Acoustic
262,2011-02-18,Acoustic,Acoustic,Acoustic
263,2011-02-19,Acoustic,Acoustic,Acoustic
264,2011-02-20,Acoustic,Acoustic,Acoustic
265,2011-02-21,Acoustic,Acoustic,Acoustic
266,2011-02-22,Acoustic,Acoustic,Acoustic
267,2011-02-23,Acoustic,Acoustic,Acoustic
268,2011-02-24,AcousticWhaleZooplankton,Acoustic,Acoustic
269,2011-02-25,Acoustic,Acoustic,Acoustic
270,2011-02-26,Acoustic,Acoustic,Acoustic
271,2011-02-27,Acoustic,Acoustic,Acoustic
272,2011-02-28,Acoustic,Acoustic,Acoustic
273,2011-03-01,Acoustic,Acoustic,Acoustic
274,2011-03-02,Acoustic,Acoustic,Acoustic
275,2011-03-03,Acoustic,Acoustic,Acoustic
276,2011-03-04,AcousticWhale,Acoustic,Acoustic
277,2011-03-05,Acoustic,Acoustic,Acoustic
278,2011-03-06,Acoustic,Acoustic,Acoustic
279,2011-03-07,Acoustic,Acoustic,Acoustic
280,2011-03-08,AcousticWhale,Acoustic,Acoustic
281,2011-03-09,Acoustic,Acoustic,Acoustic
282,2011-03-10,Acoustic,Acoustic,Acoustic
283,2011-03-11,Acoustic,Acoustic,Acoustic
284,2011-03-12,Acoustic,Acoustic,Acoustic
285,2011-03-13,AcousticWhale,Acoustic,Acoustic
286,2011-03-14,Acoustic,Acoustic,Acoustic
287,2011-03-15,Acoustic,Acoustic,Acoustic
288,2011-03-16,Acoustic,Acoustic,Acoustic
289,2011-03-17,AcousticWhaleZooplankton,Acoustic,Acoustic
290,2011-03-18,Acoustic,Acoustic,Acoustic
291,2011-03-19,Acoustic,Acoustic,Acoustic
292,2011-03-20,AcousticWhale,Acoustic,Acoustic
293,2011-03-21,Acoustic,Acoustic,Acoustic
294,2011-03-22,Acoustic,Acoustic,Acoustic
295,2011-03-23,AcousticWhale,Acoustic,Acoustic
296,2011-03-24,Acoustic,Acoustic,Acoustic
297,2011-03-25,Acoustic,Acoustic,Acoustic
298,2011-03-26,AcousticWhale,Acoustic,Acoustic
299,2011-03-27,Acoustic,Acoustic,Acoustic
300,2011-03-28,Acoustic,Acoustic,Acoustic
301,2011-03-29,Acoustic,Acoustic,Acoustic
302,2011-03-30,AcousticWhale,Acoustic,Acoustic
303,2011-03-31,Acoustic,Acoustic,Acoustic
304,2011-04-01,Acoustic,Acoustic,Acoustic
305,2011-04-02,Acoustic,Acoustic,Acoustic
306,2011-04-03,Acoustic,Acoustic,Acoustic
307,2011-04-04,Acoustic,Acoustic,Acoustic
308,2011-04-05,Acoustic,Acoustic,Acoustic
309,2011-04-06,Acoustic,Acoustic,Acoustic
310,2011-04-07,AcousticWhale,Acoustic,Acoustic
311,2011-04-08,AcousticWhale,Acoustic,Acoustic
312,2011-04-09,Acoustic,Acoustic,Acoustic
313,2011-04-10,Acoustic,Acoustic,Acoustic
314,2011-04-11,Acoustic,Acoustic,Acoustic
315,2011-04-12,Acoustic,Acoustic,Acoustic
316,2011-04-13,Acoustic,Acoustic,Acoustic
317,2011-04-14,AcousticWhale,Acoustic,Acoustic
318,2011-04-15,AcousticWhale,Acoustic,Acoustic
319,2011-04-16,Acoustic,Acoustic,Acoustic
320,2011-04-17,Acoustic,Acoustic,Acoustic
321,2011-04-18,Acoustic,Acoustic,Acoustic
322,2011-04-19,AcousticWhaleZooplankton,Acoustic,Acoustic
323,2011-04-20,Acoustic,Acoustic,Acoustic
324,2011-04-21,Acoustic,Acoustic,Acoustic
325,2011-04-22,AcousticWhale,Acoustic,Acoustic
326,2011-04-23,Acoustic,Acoustic,Acoustic
327,2011-04-24,AcousticWhale,Acoustic,Acoustic
328,2011-04-25,AcousticWhaleZooplankton,Acoustic,Acoustic
329,2011-04-26,Acoustic,Acoustic,Acoustic
330,2011-04-27,AcousticWhale,Acoustic,Acoustic
331,2011-04-28,Acoustic,Acoustic,Acoustic
332,2011-04-29,AcousticWhaleZooplankton,Acoustic,Acoustic
333,2011-04-30,AcousticWhale,Acoustic,Acoustic
334,2011-05-01,Acoustic,Acoustic,Acoustic
335,2011-05-02,AcousticWhale,Acoustic,Acoustic
336,2011-05-03,AcousticWhale,Acoustic,Acoustic
337,2011-05-04,Acoustic,Acoustic,Acoustic
338,2011-05-05,Acoustic,Acoustic,Acoustic
339,2011-05-06,Acoustic,Acoustic,Acoustic
340,2011-05-07,Acoustic,Acoustic,Acoustic
341,2011-05-08,Acoustic,Acoustic,Acoustic
342,2011-11-30,Whale,Acoustic,
343,2011-12-03,Whale,Acoustic,
344,2012-01-07,Whale,Acoustic,
345,2012-01-16,Whale,Acoustic,
346,2012-01-23,Whale,Acoustic,
347,2012-01-26,WhaleZooplankton,Acoustic,
348,2012-02-02,Whale,Acoustic,
349,2012-02-05,Whale,Acoustic,
350,2012-02-09,WhaleZooplankton,Acoustic,
351,2012-02-15,WhaleZooplankton,Acoustic,
352,2012-02-16,Whale,Acoustic,
353,2012-02-27,WhaleZooplankton,Acoustic,
354,2012-02-29,WhaleZooplankton,Acoustic,
355,2012-03-04,Whale,Acoustic,
356,2012-03-12,Whale,Acoustic,
357,2012-03-16,Whale,Acoustic,
358,2012-03-17,Whale,Acoustic,
359,2012-03-18,Whale,Acoustic,
360,2012-03-19,Whale,Acoustic,
361,2012-03-20,Whale,Acoustic,
362,2012-03-21,Whale,Acoustic,
363,2012-03-23,WhaleZooplankton,Acoustic,
364,2012-03-31,Whale,Acoustic,
365,2012-04-01,WhaleZooplankton,Acoustic,
366,2012-04-06,Whale,Acoustic,
367,2012-04-13,WhaleZooplankton,Acoustic,
368,2012-04-17,WhaleZooplankton,Acoustic,
369,2012-04-19,Whale,Acoustic,
370,2012-08-16,Whale,Acoustic,
371,2012-11-18,Whale,Acoustic,
372,2012-12-12,Whale,Acoustic,
373,2012-12-13,Whale,Acoustic,
374,2012-12-29,Whale,Acoustic,
375,2013-01-06,Whale,Acoustic,
376,2013-01-11,Whale,Acoustic,
377,2013-01-12,Whale,Acoustic,
378,2013-01-17,Whale,Acoustic,
379,2013-01-21,Whale,Acoustic,
380,2013-01-28,AcousticWhaleZooplankton,Acoustic,Acoustic
381,2013-01-29,Acoustic,Acoustic,Acoustic
382,2013-01-30,Acoustic,Acoustic,Acoustic
383,2013-01-31,Acoustic,Acoustic,Acoustic
384,2013-02-01,Acoustic,Acoustic,Acoustic
385,2013-02-02,Acoustic,Acoustic,Acoustic
386,2013-02-03,Acoustic,Acoustic,Acoustic
387,2013-02-04,Acoustic,Acoustic,Acoustic
388,2013-02-05,AcousticWhale,Acoustic,Acoustic
389,2013-02-06,AcousticWhale,Acoustic,Acoustic
390,2013-02-07,Acoustic,Acoustic,Acoustic
391,2013-02-08,Acoustic,Acoustic,Acoustic
392,2013-02-09,Acoustic,Acoustic,Acoustic
393,2013-02-10,Acoustic,Acoustic,Acoustic
394,2013-02-11,Acoustic,Acoustic,Acoustic
395,2013-02-12,Acoustic,Acoustic,Acoustic
396,2013-02-13,AcousticWhale,Acoustic,Acoustic
397,2013-02-14,Acoustic,Acoustic,Acoustic
398,2013-02-15,Acoustic,Acoustic,Acoustic
399,2013-02-16,Acoustic,Acoustic,Acoustic
400,2013-02-17,Acoustic,Acoustic,Acoustic
401,2013-02-18,Acoustic,Acoustic,Acoustic
402,2013-02-19,AcousticWhale,Acoustic,Acoustic
403,2013-02-20,Acoustic,Acoustic,Acoustic
404,2013-02-21,Acoustic,Acoustic,Acoustic
405,2013-02-22,Acoustic,Acoustic,Acoustic
406,2013-02-23,AcousticWhale,Acoustic,Acoustic
407,2013-02-24,Acoustic,Acoustic,Acoustic
408,2013-02-25,Acoustic,Acoustic,Acoustic
409,2013-02-26,AcousticWhale,Acoustic,Acoustic
410,2013-02-27,Acoustic,Acoustic,Acoustic
411,2013-02-28,Acoustic,Acoustic,Acoustic
412,2013-03-01,Acoustic,Acoustic,Acoustic
413,2013-03-02,Acoustic,Acoustic,Acoustic
414,2013-03-03,Acoustic,Acoustic,Acoustic
415,2013-03-04,Acoustic,Acoustic,Acoustic
416,2013-03-05,Acoustic,Acoustic,Acoustic
417,2013-03-06,Acoustic,Acoustic,Acoustic
418,2013-03-07,Acoustic,Acoustic,Acoustic
419,2013-03-08,Acoustic,Acoustic,Acoustic
420,2013-03-09,Acoustic,Acoustic,Acoustic
421,2013-03-10,Acoustic,Acoustic,Acoustic
422,2013-03-11,AcousticWhaleZooplankton,Acoustic,Acoustic
423,2013-03-12,Acoustic,Acoustic,Acoustic
424,2013-03-13,AcousticWhale,Acoustic,Acoustic
425,2013-03-14,Acoustic,Acoustic,Acoustic
426,2013-03-15,Acoustic,Acoustic,Acoustic
427,2013-03-16,Acoustic,Acoustic,Acoustic
428,2013-03-17,Acoustic,Acoustic,Acoustic
429,2013-03-18,AcousticWhaleZooplankton,Acoustic,Acoustic
430,2013-03-19,Acoustic,Acoustic,Acoustic
431,2013-03-20,Acoustic,Acoustic,Acoustic
432,2013-03-21,AcousticWhale,Acoustic,Acoustic
433,2013-03-22,Acoustic,Acoustic,Acoustic
434,2013-03-23,Acoustic,Acoustic,Acoustic
435,2013-03-24,Acoustic,Acoustic,Acoustic
436,2013-03-25,Acoustic,Acoustic,Acoustic
437,2013-03-26,Acoustic,Acoustic,Acoustic
438,2013-03-27,AcousticWhale,Acoustic,Acoustic
439,2013-03-28,Acoustic,Acoustic,Acoustic
440,2013-03-29,AcousticWhale,Acoustic,Acoustic
441,2013-03-30,AcousticWhale,Acoustic,Acoustic
442,2013-03-31,Acoustic,Acoustic,Acoustic
443,2013-04-01,Acoustic,Acoustic,Acoustic
444,2013-04-02,Acoustic,Acoustic,Acoustic
445,2013-04-03,Acoustic,Acoustic,Acoustic
446,2013-04-04,AcousticWhale,Acoustic,Acoustic
447,2013-04-05,Acoustic,Acoustic,Acoustic
448,2013-04-06,Acoustic,Acoustic,Acoustic
449,2013-04-07,Acoustic,Acoustic,Acoustic
450,2013-04-08,AcousticWhaleZooplankton,Acoustic,Acoustic
451,2013-04-09,Acoustic,Acoustic,Acoustic
452,2013-04-10,AcousticWhale,Acoustic,Acoustic
453,2013-04-11,AcousticWhale,Acoustic,Acoustic
454,2013-04-12,Acoustic,Acoustic,Acoustic
455,2013-04-13,AcousticWhale,Acoustic,Acoustic
456,2013-04-14,AcousticWhale,Acoustic,Acoustic
457,2013-04-15,AcousticWhaleZooplankton,Acoustic,Acoustic
458,2013-04-16,Acoustic,Acoustic,Acoustic
459,2013-04-17,AcousticWhale,Acoustic,Acoustic
460,2013-04-18,AcousticWhale,Acoustic,Acoustic
461,2013-04-19,Acoustic,Acoustic,Acoustic
462,2013-04-20,Acoustic,Acoustic,Acoustic
463,2013-04-21,AcousticWhale,Acoustic,Acoustic
464,2013-04-22,Acoustic,Acoustic,Acoustic
465,2013-04-23,AcousticWhale,Acoustic,Acoustic
466,2013-04-24,Acoustic,Acoustic,Acoustic
467,2013-04-25,Acoustic,Acoustic,Acoustic
468,2013-04-26,AcousticWhaleZooplankton,Acoustic,Acoustic
469,2013-04-27,AcousticWhale,Acoustic,Acoustic
470,2013-04-28,AcousticWhale,Acoustic,Acoustic
471,2013-04-29,AcousticWhaleZooplankton,Acoustic,Acoustic
472,2013-04-30,AcousticWhale,Acoustic,Acoustic
473,2013-05-01,AcousticWhaleZooplankton,Acoustic,Acoustic
474,2013-05-02,Acoustic,Acoustic,Acoustic
475,2013-05-03,Acoustic,Acoustic,Acoustic
476,2013-05-04,Acoustic,Acoustic,Acoustic
477,2013-05-05,AcousticZooplankton,Acoustic,Acoustic
478,2013-05-06,Acoustic,Acoustic,Acoustic
479,2013-10-31,Whale,Acoustic,
480,2013-12-29,Whale,Acoustic,
481,2014-01-05,Whale,Acoustic,
482,2014-01-10,Whale,Acoustic,
483,2014-01-16,Whale,Acoustic,
484,2014-01-17,Whale,Acoustic,
485,2014-02-01,Whale,Acoustic,
486,2014-02-08,Whale,Acoustic,
487,2014-02-12,Whale,Acoustic,
488,2014-02-20,Whale,Acoustic,
489,2014-02-23,Whale,Acoustic,
490,2014-03-01,AcousticWhale,Acoustic,Acoustic
491,2014-03-02,Acoustic,Acoustic,Acoustic
492,2014-03-03,Acoustic,Acoustic,Acoustic
493,2014-03-04,AcousticWhaleZooplankton,Acoustic,Acoustic
494,2014-03-05,Acoustic,Acoustic,Acoustic
495,2014-03-06,Acoustic,Acoustic,Acoustic
496,2014-03-07,AcousticWhale,Acoustic,Acoustic
497,2014-03-08,AcousticWhale,Acoustic,Acoustic
498,2014-03-09,Acoustic,Acoustic,Acoustic
499,2014-03-10,AcousticWhale,Acoustic,Acoustic
500,2014-03-11,Acoustic,Acoustic,Acoustic
501,2014-03-12,AcousticWhale,Acoustic,Acoustic
502,2014-03-13,Acoustic,Acoustic,Acoustic
503,2014-03-14,AcousticWhale,Acoustic,Acoustic
504,2014-03-15,Acoustic,Acoustic,Acoustic
505,2014-03-16,Acoustic,Acoustic,Acoustic
506,2014-03-17,AcousticWhale,Acoustic,Acoustic
507,2014-03-18,AcousticWhale,Acoustic,Acoustic
508,2014-03-19,AcousticWhale,Acoustic,Acoustic
509,2014-03-20,Acoustic,Acoustic,Acoustic
510,2014-03-21,Acoustic,Acoustic,Acoustic
511,2014-03-22,Acoustic,Acoustic,Acoustic
512,2014-03-23,AcousticWhale,Acoustic,Acoustic
513,2014-03-24,Acoustic,Acoustic,Acoustic
514,2014-03-25,AcousticWhaleZooplankton,Acoustic,Acoustic
515,2014-03-26,Acoustic,Acoustic,Acoustic
516,2014-03-27,Acoustic,Acoustic,Acoustic
517,2014-03-28,Acoustic,Acoustic,Acoustic
518,2014-03-29,Acoustic,Acoustic,Acoustic
519,2014-03-30,Acoustic,Acoustic,Acoustic
520,2014-03-31,Acoustic,Acoustic,Acoustic
